,numberFire,,Ranks,,Passing,,,,Rushing,,,Receiving,,,
Player,FP,CI,Ovr.,Pos.,C/A,Yds,TDs,Ints,Att,Yds,TDs,Rec,Tgt,Yds,TDs
"Ryan Tannehill R. Tannehill(QB, TEN)",243.10,"212.39 - 273.81",#33,#28,"327.27 / 500.38",3769.29,22.52,11.16,40.41,192.41,1.65,0.00,0.00,0.00,0.00
"Bijan Robinson B. Robinson(RB, ATL)",242.35,"209.37 - 275.33",#34,#6,"0.00 / 0.00",0.00,0.00,0.00,294.10,1380.10,10.41,42.28,60.54,314.85,2.26
"Baker Mayfield B. Mayfield(QB, TB)",240.98,"210.31 - 271.65",#35,#29,"368.59 / 594.37",3920.77,23.91,16.47,43.99,188.53,1.69,0.00,0.00,0.00,0.00
"Derrick Henry D. Henry(RB, TEN)",238.51,"205.84 - 271.18",#36,#7,"0.00 / 0.00",0.00,0.00,0.00,333.26,1538.32,10.82,23.57,32.52,190.31,0.92
"C.J. Stroud C. Stroud(QB, HOU)",236.18,"205.58 - 266.78",#37,#30,"344.79 / 532.90",3461.45,21.15,11.83,63.48,304.21,2.00,0.00,0.00,0.00,0.00
"Justin Jefferson J. Jefferson(WR, MIN)",234.06,"201.25 - 266.87",#38,#1,"0.00 / 0.00",0.00,0.00,0.00,4.17,23.47,0.23,124.57,189.08,1684.42,10.21
"Jonathan Taylor J. Taylor(RB, IND)",230.75,"198.69 - 262.81",#39,#8,"0.00 / 0.00",0.00,0.00,0.00,329.84,1581.21,9.48,22.59,31.63,167.52,0.85
"Kyler Murray K. Murray(QB, ARI)",229.80,"200.69 - 258.91",#40,#31,"293.02 / 441.87",3155.07,14.43,6.61,84.56,463.44,3.45,0.00,0.00,0.00,0.00
"Josh Jacobs J. Jacobs(RB, LV)",225.98,"194.3 - 257.66",#41,#9,"0.00 / 0.00",0.00,0.00,0.00,282.73,1316.55,10.62,35.29,48.99,228.57,1.70
"Ja'Marr Chase J. Chase(WR, CIN)",219.16,"187.63 - 250.69",#42,#2,"0.00 / 0.00",0.00,0.00,0.00,4.21,23.59,0.20,117.04,177.68,1496.44,11.36
"Tyreek Hill T. Hill(WR, MIA)",216.89,"185.54 - 248.24",#43,#3,"0.00 / 0.00",0.00,0.00,0.00,10.68,63.24,0.61,107.71,163.83,1454.35,10.38
"Desmond Ridder D. Ridder(QB, ATL)",216.40,"186.15 - 246.65",#44,#32,"302.83 / 484.31",3130.49,20.99,11.25,48.12,215.13,2.09,0.00,0.00,0.00,0.00
"Najee Harris N. Harris(RB, PIT)",215.43,"184.59 - 246.27",#45,#10,"0.00 / 0.00",0.00,0.00,0.00,299.35,1268.64,9.03,41.58,57.09,263.90,1.85
"Cooper Kupp C. Kupp(WR, LA)",214.01,"182.91 - 245.11",#46,#4,"0.00 / 0.00",0.00,0.00,0.00,9.19,54.31,0.42,111.52,158.89,1429.75,10.65
"Joe Mixon J. Mixon(RB, CIN)",211.70,"181.15 - 242.25",#47,#11,"0.00 / 0.00",0.00,0.00,0.00,260.97,1115.64,9.72,41.15,53.93,284.58,2.18
"Aaron Jones A. Jones(RB, GB)",207.71,"177.49 - 237.93",#48,#12,"0.00 / 0.00",0.00,0.00,0.00,224.47,1132.75,9.11,43.54,59.80,303.80,2.40
